sid,parent,status,fr_md5,fr_len
313,7240686c-d790-463d-bad2-c969fc65885e,completed,2a3f2f9780e8a133704ab1b87cb08770,5806
314,58246538-8068-45cc-80bd-3837e3558cbd,completed,f22371b3b3922c0e79292d06b30c10d2,4210
315,58246538-8068-45cc-80bd-3837e3558cbd,completed,0920e5d0e7e3a5da6a6b2f70dea0aef5,5065
316,58246538-8068-45cc-80bd-3837e3558cbd,completed,ca8fef7b4af837454cc3c1e842e18d6a,5955
317,7240686c-d790-463d-bad2-c969fc65885e,completed,0c5fa1c4ad4f2c727ea84aaad93ded74,4322
318,f99a2d06-767f-4e10-b3ce-6fb72bbd92d0,completed,185ed9c7ea62f33f3fb5d0f0e790ac14,4727
319,f99a2d06-767f-4e10-b3ce-6fb72bbd92d0,completed,497fc047a01f46b671e9f86a5dc6dcab,4256
320,7240686c-d790-463d-bad2-c969fc65885e,completed,5a64abc248e8810c28f5f0465b413134,5960
321,1184c81b-45c7-43f6-a9cf-f36bfd3d74cb,completed,50721d68b885168af45e965364151066,5338
322,1184c81b-45c7-43f6-a9cf-f36bfd3d74cb,completed,c4027032e509019dfa7c5904a7be53f0,4783
323,1184c81b-45c7-43f6-a9cf-f36bfd3d74cb,completed,fbfa27abbb6a87a5222f01a61f65e185,2572
324,7240686c-d790-463d-bad2-c969fc65885e,completed,811cabd6b0da671ed4b0a61d08b43acf,924
325,7240686c-d790-463d-bad2-c969fc65885e,completed,6eb5338a695e075b5cb115e5c658c016,2460
326,7240686c-d790-463d-bad2-c969fc65885e,completed,b2c7ac45ffcf97ba128ea496606e8c66,2632
327,7240686c-d790-463d-bad2-c969fc65885e,completed,afaf6b9926cb22dc2b37f5790b3063bd,5924
328,7240686c-d790-463d-bad2-c969fc65885e,completed,dc05f8c1dddad86b11c411b5506f3281,6356
329,7240686c-d790-463d-bad2-c969fc65885e,completed,57f1151d000086fde60df9ef5876c9ed,1792
330,7240686c-d790-463d-bad2-c969fc65885e,completed,a463f24fc60a228bedb4dc7e5b6d04c2,5393
331,7240686c-d790-463d-bad2-c969fc65885e,completed,ca307b2352b6d4f32bfaf522827095c9,3382
332,7240686c-d790-463d-bad2-c969fc65885e,completed,a4b2090535037d18a71354591f85ba52,3709
333,7240686c-d790-463d-bad2-c969fc65885e,completed,c3d896a5aed64b6d05f9acc2ac583756,1038
334,cda9e346-176e-41f0-87c6-068304109525,completed,daa945e5bcc0c77666728b05014efec9,6880
335,cda9e346-176e-41f0-87c6-068304109525,completed,bbaf03dbfb3d322611abe2f8be19326e,3195
336,cda9e346-176e-41f0-87c6-068304109525,completed,5787598ac0b4a5632c3bcff0012b4cb3,5842
337,7240686c-d790-463d-bad2-c969fc65885e,completed,4883b7fd68ccb9eac919eec627f50b23,5072
338,f99a2d06-767f-4e10-b3ce-6fb72bbd92d0,completed,9ee18e8cf0913559a9a87330a19e27b0,3474
339,f99a2d06-767f-4e10-b3ce-6fb72bbd92d0,completed,7c8a9647d96d72dad985774cc74b1bea,6100
340,7240686c-d790-463d-bad2-c969fc65885e,completed,d3d16d8bffb4bd8f0f7cf7245b66fccc,4995
341,2d41aaae-a6ed-47c2-a26c-55bdabb9e6ae,completed,e880c85b367c74d326a059bc29254945,14648
342,2d41aaae-a6ed-47c2-a26c-55bdabb9e6ae,completed,a3c919e373053aeb199d39d66e8c5572,7539
343,2d41aaae-a6ed-47c2-a26c-55bdabb9e6ae,completed,f39fb06225fa7ed2141905a2afb4292a,4711
344,7240686c-d790-463d-bad2-c969fc65885e,completed,40641c7c1188596c25ce20a51c7d2a44,3420
345,7240686c-d790-463d-bad2-c969fc65885e,completed,8426276d1974a390679402b41d2054b8,2738
346,7240686c-d790-463d-bad2-c969fc65885e,completed,f76a8fac5a38be5868a5d3704dfec0d9,4035
347,7240686c-d790-463d-bad2-c969fc65885e,completed,d57dd3867db95a8a0ec1fec6e2afa1ab,1876
348,f99a2d06-767f-4e10-b3ce-6fb72bbd92d0,completed,43768bb9cc675e13ee42c35b66475df7,4599
349,f99a2d06-767f-4e10-b3ce-6fb72bbd92d0,completed,e885c6f7b9cb4d078b4e7bd8b9fdaf6c,3621
350,f99a2d06-767f-4e10-b3ce-6fb72bbd92d0,completed,848683a72cca34fd59009346296d3854,3175
351,58246538-8068-45cc-80bd-3837e3558cbd,completed,028d291a12003436050e116e2bf42cd2,3391
352,f99a2d06-767f-4e10-b3ce-6fb72bbd92d0,completed,6b819e458e16c4e97ea391cf9fafef4c,2920
353,ae250498-3692-408a-9bcb-12f040e65f4b,completed,a3d60141e63fb6ba4cabf73815add2d2,4830
354,ae250498-3692-408a-9bcb-12f040e65f4b,completed,f39fb06225fa7ed2141905a2afb4292a,2942
355,ae250498-3692-408a-9bcb-12f040e65f4b,completed,98ca84bddb79803de2eec15f44cbc63c,3308
356,f99a2d06-767f-4e10-b3ce-6fb72bbd92d0,completed,a82639ae28ca242f1bc6e9c5d643c5b8,2612
357,58246538-8068-45cc-80bd-3837e3558cbd,completed,183a0c5edb4ac453037cf2da35e1c04d,3497
358,7240686c-d790-463d-bad2-c969fc65885e,completed,38444202f47ee6bdb44b98304faec404,2236
359,f99a2d06-767f-4e10-b3ce-6fb72bbd92d0,completed,ee5180a161a3325080adaa62bdd8569a,4030
360,f99a2d06-767f-4e10-b3ce-6fb72bbd92d0,completed,983f6247babf38498a540766d2133bb4,824
361,6c2fa1f6-dd85-48e9-9538-33527d93fac5,completed,1ca6042923bcb1bcc0a463c3ebc1926d,5327
362,7240686c-d790-463d-bad2-c969fc65885e,completed,f600832f57c7231197445936dbaf3f69,1133
363,58246538-8068-45cc-80bd-3837e3558cbd,completed,00dd664295308447640000a9fb6ba821,3263
364,58246538-8068-45cc-80bd-3837e3558cbd,completed,fc59b60739ee73e175313299f6ca60b9,3856
365,f99a2d06-767f-4e10-b3ce-6fb72bbd92d0,completed,b4aefd29108f232f9c0d5a4b030215c1,384
366,58246538-8068-45cc-80bd-3837e3558cbd,completed,a2b9a2c4b8d21a732197a14df9a3f43e,3921
367,58246538-8068-45cc-80bd-3837e3558cbd,completed,b4aefd29108f232f9c0d5a4b030215c1,384
368,7240686c-d790-463d-bad2-c969fc65885e,completed,b4aefd29108f232f9c0d5a4b030215c1,384
369,f99a2d06-767f-4e10-b3ce-6fb72bbd92d0,completed,b4aefd29108f232f9c0d5a4b030215c1,384
370,f99a2d06-767f-4e10-b3ce-6fb72bbd92d0,completed,b4aefd29108f232f9c0d5a4b030215c1,384
371,58246538-8068-45cc-80bd-3837e3558cbd,completed,b4aefd29108f232f9c0d5a4b030215c1,384
372,58246538-8068-45cc-80bd-3837e3558cbd,completed,b4aefd29108f232f9c0d5a4b030215c1,384
373,58246538-8068-45cc-80bd-3837e3558cbd,completed,b4aefd29108f232f9c0d5a4b030215c1,384
374,0783c1d6-9cdb-422f-9195-d9ff9d48cdf8,completed,b4aefd29108f232f9c0d5a4b030215c1,384
375,0783c1d6-9cdb-422f-9195-d9ff9d48cdf8,completed,016ec0e7b69b0c00d4aa0514ac01409b,3303
376,0783c1d6-9cdb-422f-9195-d9ff9d48cdf8,completed,905aab4830d4444252224e14b992b459,1431
377,7240686c-d790-463d-bad2-c969fc65885e,completed,b4aefd29108f232f9c0d5a4b030215c1,384
378,7240686c-d790-463d-bad2-c969fc65885e,completed,b4aefd29108f232f9c0d5a4b030215c1,384
379,7240686c-d790-463d-bad2-c969fc65885e,completed,b4aefd29108f232f9c0d5a4b030215c1,384
380,7240686c-d790-463d-bad2-c969fc65885e,completed,b4aefd29108f232f9c0d5a4b030215c1,384
381,7240686c-d790-463d-bad2-c969fc65885e,completed,b4aefd29108f232f9c0d5a4b030215c1,384
382,7240686c-d790-463d-bad2-c969fc65885e,completed,b4aefd29108f232f9c0d5a4b030215c1,384
383,7240686c-d790-463d-bad2-c969fc65885e,completed,b4aefd29108f232f9c0d5a4b030215c1,384
384,7240686c-d790-463d-bad2-c969fc65885e,completed,b4aefd29108f232f9c0d5a4b030215c1,384
385,7240686c-d790-463d-bad2-c969fc65885e,completed,b4aefd29108f232f9c0d5a4b030215c1,384
386,7240686c-d790-463d-bad2-c969fc65885e,completed,b4aefd29108f232f9c0d5a4b030215c1,384
387,7240686c-d790-463d-bad2-c969fc65885e,completed,b4aefd29108f232f9c0d5a4b030215c1,384
388,7240686c-d790-463d-bad2-c969fc65885e,completed,b4aefd29108f232f9c0d5a4b030215c1,384
389,7240686c-d790-463d-bad2-c969fc65885e,completed,b4aefd29108f232f9c0d5a4b030215c1,384
390,7240686c-d790-463d-bad2-c969fc65885e,completed,b4aefd29108f232f9c0d5a4b030215c1,384
391,7240686c-d790-463d-bad2-c969fc65885e,completed,b4aefd29108f232f9c0d5a4b030215c1,384
392,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,b4aefd29108f232f9c0d5a4b030215c1,384
393,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,b4aefd29108f232f9c0d5a4b030215c1,384
394,ff521137-c3c1-4121-9f11-8bbc2420ff24,completed,b4aefd29108f232f9c0d5a4b030215c1,384
